"","oyuncu","takım","gol_sayisi"
"1","M. Diagne","Galatasaray",23
"2","H. Rodallega","Trabzonspor",12
"3","P. Cissé","Alanyaspor",12
"4","Burak Yılmaz","Beşiktaş",11
"5","H. Onyekuru","Galatasaray",11
"6","V. Muriqi","Çaykur Rizespor",11
"7","E. Višća","İstanbul Başakşehir",10
"8","Robinho","İstanbul Başakşehir",10
"9","A. Koné","Sivasspor",9
"10","D. Aleksić","Yeni Malatyaspor",9
"11","S. Doukara","Antalyaspor",9
"12","A. Nwakaeme","Trabzonspor",8
"13","Trézéguet","Kasımpaşa",8
"14","Yasin Öztekin","Göztepe",8
"15","Eren Derdiyok","Galatasaray",7
"16","Feghouli","Galatasaray",7
"17","S. Eduok","BB Erzurumspor",7
"18","T. Chery","Kayserispor",7
"19","A. Jahović","Konyaspor",6
"20","D. Orgill","MKE Ankaragücü",6
